"","player_id","rank","player","avg","seasons"
"1",65087,1,"Patricia Riches","0.514","2017-2019"
"2",27162,2,"Nicole Garcia","0.509","2018-2019"
"3",11209,3,"Jessica Campbell","0.505","2023-2025"
"4",10376,4,"Rosa'lynn Burton","0.482","2017-2020"
"5",81045,5,"Grace Vondracek","0.481","2024-2025"
"6",64461,6,"Christa Reisinger","0.480","2016-2019"
"7",60245,7,"Maddy Pepke","0.479","2020-2022"
"8",11212,8,"Kailyn Campbell","0.477","2016-2017"
"9",57656,9,"Makray Odom","0.477","2017-2021"
"10",40759,10,"Sarah Kennedy","0.474","2016-2017"
"11",45924,11,"Melissa Livermore","0.467","2016-2019"
"12",10530,12,"Lyndsay Butler","0.465","2016-2017"
"13",78490,13,"Heather Tracy","0.463","2016-2018"
"14",66940,14,"Hannah Rose","0.463","2021-2024"
"15",62359,15,"Kaylee Prather","0.458","2016-2017"
"16",32593,16,"Lauren Harris","0.457","2019-2025"
"17",80876,17,"Kelsey Vining","0.455","2016-2018"
"18",30887,18,"Gianna Guerriero","0.454","2024-2025"
"19",48352,19,"Maggie Manwarren","0.451","2017-2018"
"20",32857,20,"Stephanie Hartness","0.451","2016-2017"
"21",6464,21,"Emily Blackwell","0.450","2024-2025"
"22",3677,22,"Kaitlyn Bannister","0.450","2016-2017"
"23",53950,23,"Sophie Mooney","0.448","2023-2024"
"24",15413,24,"Courtlynn Cooney","0.448","2021-2024"
"25",40082,25,"Bekah Kastning","0.447","2016-2017"
"26",36470,26,"Teala Howard","0.446","2019-2022"
"27",53556,27,"Jessica Mohl","0.445","2017-2018"
"28",48840,28,"Hannah Marsteller","0.443","2019-2023"
"29",43482,29,"Millay Lambert","0.441","2022-2023"
"30",40337,30,"Sara Keeny","0.439","2016-2019"
"31",26605,31,"Andrea Gahan","0.439","2017-2019"
"32",51959,32,"Madison Melvin","0.438","2020-2024"
"33",72684,33,"Brooke Smith","0.438","2024-2025"
"34",2385,34,"Heather Arnett","0.438","2023-2025"
"35",75028,35,"Kaylee Stinnett","0.437","2022-2024"
"36",17809,36,"Meredith Daunhauer","0.437","2016-2019"
"37",49812,37,"Malea Maye","0.435","2016-2017"
"38",53668,38,"Marisa Monasseri","0.435","2016-2018"
"39",80951,39,"Reese Vivrette","0.435","2023-2025"
"40",53898,40,"Alexis Monty","0.435","2024-2025"
"41",40594,41,"Tatianna Kelly","0.434","2017-2022"
"42",37242,42,"Madison Hurt","0.431","2022-2025"
"43",4593,43,"Chloe Baynes","0.431","2023-2025"
"44",35330,43,"Brooke Hodgson","0.431","2016-2018"
"45",10620,45,"Bailey Byers","0.430","2018-2021"
"46",60322,46,"Ashley Perez","0.430","2018-2022"
"47",2468,47,"Myah Arrieta","0.430","2022-2025"
"48",85261,48,"Sharnitra Woods","0.430","2016-2018"
"49",22566,49,"Kylie Emanuele","0.429","2021-2024"
"50",26709,50,"Brianna Gallagher","0.429","2023-2025"
"51",53408,50,"Marissa Mitchell","0.429","2023-2025"
"52",76160,52,"Sara Sweatt","0.428","2016-2017"
"53",65686,53,"Shelby Robb","0.428","2021-2024"
"54",38318,54,"Danielle Jason","0.428","2024-2025"
"55",78398,55,"Tereise Tosi","0.428","2022-2025"
"56",27249,56,"Kelsie Gardner","0.427","2016-2017"
"57",11823,57,"Ashley Carney","0.427","2017-2020"
"58",27255,58,"Kylah Gardner","0.426","2022-2025"
"59",79865,59,"Suka Van gurp","0.425","2018-2019"
"60",29841,60,"Jordan Grant","0.425","2016-2017"
"61",82565,61,"Lauren Wedman","0.424","2019-2022"
"62",64399,62,"Samantha Reilly","0.423","2017-2019"
"63",1859,63,"Maleah Andrews","0.422","2024-2025"
"64",19452,64,"Jenna Devens","0.422","2022-2025"
"65",73979,65,"Nicki Sprague","0.421","2016-2017"
"66",65782,66,"Jamie Roberts","0.421","2022-2024"
"67",10315,67,"Gabby Burroughs","0.421","2023-2025"
"68",29055,68,"Andrea Gonzales","0.420","2017-2018"
"69",14568,69,"Caitlyn Cole","0.420","2023-2025"
"70",47429,70,"Ana Macha","0.419","2022-2025"
"71",18611,71,"Alix Dedreu","0.418","2016-2019"
"72",29278,72,"Delaney Good","0.418","2021-2024"
"73",49228,73,"Brenna Martini","0.417","2016-2018"
"74",79792,74,"Brylynn Vallejos","0.417","2019-2022"
"75",82173,75,"Taylor Watford","0.416","2023-2024"
"76",3226,76,"Macauley Bailey","0.416","2023-2025"
"77",57071,77,"Alison Nowak","0.416","2017-2021"
"78",78310,78,"Annmarie Torres","0.416","2017-2020"
"79",35205,79,"Abbie Hlas","0.415","2021-2024"
"80",56865,80,"Nicole Nordie","0.415","2016-2017"
"81",49492,81,"Megan Matheis","0.415","2023-2025"
"82",83401,82,"Madalyn White","0.414","2023-2025"
"83",147,83,"Carrie Abrams","0.414","2016-2018"
"84",76737,84,"Hannah Tavik","0.413","2016-2017"
"85",38888,85,"Jamie Johnson","0.413","2016-2018"
"86",86639,85,"Anna Zoia-buescher","0.413","2022-2024"
"87",39760,87,"Maggie Kadrlik","0.412","2016-2019"
"88",28737,88,"Lydia Goble","0.412","2019-2023"
"89",2181,89,"Ayanna Arceneaux","0.412","2018-2020"
"90",41732,90,"Taylor Kline","0.411","2016-2018"
"91",55885,91,"Macey Neal","0.410","2022-2024"
"92",17638,92,"Starkeira Daniel","0.410","2016-2019"
"93",18008,93,"Erica Davis","0.410","2017-2019"
"94",63904,94,"Nicolette Ray","0.409","2018-2022"
"95",84330,95,"Zoe Willis","0.409","2021-2024"
"96",17254,96,"Makayla Cuthbertson","0.408","2021-2024"
"97",64061,97,"T'yauna Rector","0.408","2023-2024"
"98",51801,98,"Jess Meidl","0.408","2016-2018"
"99",41896,99,"Kayla Knight","0.407","2016-2017"
"100",10652,100,"Kelly Byrd","0.407","2018-2019"
