"","player_id","rank","player","whip","seasons"
"1",83682,1,"Ally Wiegand","0.572","2018-2020"
"2",77208,2,"Lindsey Thayer","0.652","2017-2018"
"3",22449,3,"Gracie Ellis","0.739","2022-2025"
"4",75544,4,"Ashlyn Strother","0.762","2020-2024"
"5",25173,5,"Gina Followell","0.803","2019-2023"
"6",72943,6,"Mckenna Smith","0.820","2022-2023"
"7",71891,7,"Kayla Simacek","0.822","2020-2024"
"8",52553,8,"Alexis Michon","0.840","2021-2025"
"9",36961,9,"Hanna Hull","0.845","2017-2021"
"10",57044,10,"Josie Novak","0.856","2017-2018"
"11",45068,11,"Sadie Leonard","0.871","2023-2025"
"12",31075,12,"Anna Gurr","0.875","2017-2018"
"13",1022,13,"Kate Alger","0.882","2022-2025"
"14",62161,14,"Megan Potter","0.901","2017-2022"
"15",66584,15,"Jazmyn Rohrer","0.912","2017-2018"
"16",39442,16,"Sydney Jones","0.917","2017-2018"
"17",50984,17,"Alexa Mchugh","0.920","2020-2023"
"18",15152,18,"Cindy Connoly","0.946","2017-2018"
"19",86634,19,"Olivia Zoeller","0.951","2019-2022"
"20",67313,20,"Jess Rozick","0.956","2017-2019"
"21",7092,21,"Morgan Bolduk","0.961","2018-2022"
"22",19771,22,"Sophia Dicocco","0.962","2021-2024"
"23",39084,23,"Sky Johnson","0.965","2022-2025"
"24",29477,24,"Hannah Gore","0.968","2022-2025"
"25",54683,25,"Renae Morton","0.969","2017-2018"
"26",48930,26,"Jamie Martin","0.970","2022-2025"
"27",78518,27,"Nerina Tramp","0.993","2022-2025"
"28",57038,28,"Elly Novak","0.993","2020-2023"
"29",10816,29,"Kendyll Cahill","0.993","2023-2025"
"30",69231,30,"Elisabeth Schaffer","1.014","2017-2020"
"31",50353,31,"Kamryn Mccool","1.018","2019-2022"
"32",81728,32,"Madison Walter","1.029","2019-2022"
"33",16060,33,"Jaylin Couto","1.031","2021-2025"
"34",12059,34,"Kennedy Carruth","1.031","2021-2024"
"35",57976,35,"Alyssa Olson","1.031","2017-2019"
"36",33602,36,"Paige Heffke","1.038","2022-2025"
"37",19864,37,"Taryn Digiacomo","1.042","2017-2021"
"38",34027,38,"Cami Henry","1.047","2019-2022"
"39",72680,39,"Briana Smith","1.053","2021-2023"
"40",40502,40,"Tayah Kelley","1.054","2020-2024"
"41",83775,41,"Jessica Wilcox","1.065","2017-2021"
"42",83580,42,"Candace Whittemore","1.066","2017-2019"
"43",25371,43,"Paige Forry","1.068","2022-2025"
"44",16819,44,"Haley Crumpton","1.071","2017-2019"
"45",40024,45,"Jada Karnes","1.071","2020-2023"
"46",84618,46,"Lindsey Windsor","1.072","2020-2024"
"47",29716,47,"Julie Graf","1.074","2017-2021"
"48",8327,48,"Samantha Bratland","1.077","2017-2019"
"49",53118,49,"Kiana Millsaps","1.080","2017-2019"
"50",57499,50,"Moira O'reilly","1.082","2021-2023"
"51",18609,51,"Jesse Dedomenico","1.100","2017-2020"
"52",63936,52,"Morgan Raymer","1.100","2017-2018"
"53",44828,53,"Kennedy Lehn","1.101","2022-2023"
"54",61434,54,"Ashley Pion","1.102","2020-2023"
