"","player_id","rank","player","era","seasons"
"1",72880,1,"Kylee Smith","0.905","2017-2021"
"2",8251,2,"Taylor Brandts","1.016","2017-2018"
"3",34619,3,"Lindsey Hibbs","1.044","2021-2024"
"4",45773,4,"Allison Lipovsky","1.053","2017-2019"
"5",80590,5,"Hannah Vet","1.107","2017-2018"
"6",27072,6,"Gisselle Garcia","1.129","2022-2025"
"7",4755,7,"Hannah Beatus","1.138","2018-2023"
"8",67685,8,"Joni Russell","1.156","2022-2025"
"9",72866,9,"Kenzee Smith","1.188","2021-2024"
"10",26678,10,"Mariah Galhouse","1.209","2020-2025"
"11",57129,11,"Callie Nunes","1.215","2018-2023"
"12",85374,12,"Ashley Worrell","1.254","2019-2024"
"13",10393,13,"Abbey Busby","1.264","2018-2021"
"14",55341,14,"Melanie Murphy","1.280","2018-2019"
"15",34668,15,"Haile Hicks","1.280","2021-2024"
"16",14467,16,"Amanda Coffrin","1.307","2017-2018"
"17",36306,17,"Amanda Houck","1.352","2017-2018"
"18",2756,18,"Paige Austin","1.362","2018-2022"
"19",20554,19,"Makaleigh Dooley","1.370","2017-2019"
"20",28326,20,"Haley Gilham","1.375","2017-2018"
"21",81204,21,"Sydney Wader","1.379","2019-2021"
"22",5910,22,"Kristina Bettis","1.385","2022-2024"
"23",1876,23,"Ilona Andringa","1.409","2017-2018"
"24",5917,24,"Kayla Betts","1.487","2020-2024"
"25",53158,25,"Corynn Miner","1.497","2017-2022"
"26",43996,26,"Mckenna Larsen","1.502","2017-2018"
"27",52842,27,"Claire Miller","1.503","2017-2018"
"28",48645,28,"Brandy Marlett","1.520","2017-2018"
"29",25182,29,"Claire Fon","1.525","2020-2023"
"30",72725,30,"Courtney Smith","1.565","2017-2018"
"31",81883,31,"Mackenzie Ward","1.593","2018-2022"
"32",43981,32,"Brooke Larsen","1.594","2018-2022"
"33",70534,33,"Ashlan Sensing","1.608","2022-2025"
"34",9932,34,"Katie Burawski","1.628","2020-2022"
"35",28837,35,"Tatum Goff","1.641","2022-2023"
"36",60568,36,"Morgan Perry","1.655","2017-2021"
"37",18611,37,"Alix Dedreu","1.656","2017-2019"
"38",28736,38,"Alanna Goble","1.659","2020-2024"
"39",42359,39,"Katie Korstrom","1.659","2021-2024"
"40",75706,40,"Lori Sturgill","1.671","2017-2019"
"41",86423,41,"Cyrena Zemaitis","1.673","2018-2021"
"42",52573,42,"Ashley Mickschl","1.684","2018-2022"
"43",28325,43,"Mikayla Gilgert","1.708","2019-2022"
"44",38822,44,"Charlie Johnson","1.715","2023-2025"
"45",54148,45,"Andrea Morales","1.721","2018-2022"
"46",24687,46,"Ava Fitzmaurice","1.732","2019-2021"
"47",1498,47,"Makenzie Amend","1.739","2018-2022"
"48",65475,48,"Terin Ritz","1.756","2022-2025"
"49",41681,49,"Jordyn Kleman","1.781","2017-2021"
"50",76888,50,"Victoria Taylor","1.790","2017-2021"
"51",4056,51,"Maddy Barone","1.809","2017-2020"
"52",17176,52,"Jordan Curry","1.819","2017-2019"
"53",13370,53,"Jayden Chestnut","1.825","2017-2018"
"54",13097,54,"Mallory Chapman","1.857","2017-2018"
"55",65012,55,"Samantha Richards","1.862","2020-2023"
"56",46556,56,"Logan Losh","1.865","2017-2018"
"57",7358,57,"Sidney Booth","1.870","2020-2024"
"58",31504,58,"Kilee Halbert","1.881","2017-2018"
"59",72450,59,"Bekah Slattery","1.882","2017-2019"
"60",36324,60,"Hannah Houge","1.907","2018-2021"
"61",4025,61,"Maci Barnhart","1.928","2021-2024"
"62",20158,62,"Lauren Dixon","1.933","2021-2024"
"63",41362,63,"Carly Kingery","1.943","2017-2019"
"64",19238,64,"Emily Depew","1.946","2020-2024"
"65",17064,65,"Kara Cunningham","1.950","2017-2019"
"66",62976,66,"Ellie Quaethem","1.967","2021-2024"
"67",79464,67,"Kat Ung","1.969","2017-2020"
"68",69135,68,"Annie Scaramuzzi","1.976","2020-2023"
"69",44879,69,"Hailey Leister","1.989","2020-2023"
"70",22401,70,"Amber Elliott","1.992","2018-2022"
"71",28496,71,"Jaycee Ginter","2.004","2021-2024"
"72",2300,72,"Mckayla Armbruster","2.006","2020-2024"
"73",75958,73,"Mckenzie Surface","2.011","2017-2019"
"74",5791,74,"Casey Bertke","2.016","2021-2024"
"75",18930,75,"Lauren Dellett","2.019","2021-2024"
"76",59768,76,"Liz Pautz","2.023","2019-2022"
"77",5711,77,"Emma Bernet","2.027","2017-2021"
"78",39693,78,"Trinity Junker","2.030","2020-2023"
"79",75270,79,"Lexie Storrer","2.040","2017-2021"
"80",39339,80,"Kayleigh Jones","2.044","2020-2024"
"81",16337,81,"Kali Crandall","2.049","2019-2023"
"82",57520,82,"Abigail O'shields","2.063","2020-2024"
"83",278,83,"Paige Adair","2.066","2019-2022"
