"","player_id","rank","player","slg","seasons"
"1",34848,1,"Debbie Hill","0.920","2023-2025"
"2",83228,2,"Darice Wheeler","0.908","2018-2021"
"3",18260,3,"Jordan Day","0.908","2018-2022"
"4",47412,4,"Abby Mace","0.894","2020-2024"
"5",19387,5,"Sydney Despres","0.885","2016-2018"
"6",33021,6,"Kaitlyn Hasty","0.882","2019-2022"
"7",79404,7,"Haley Ullrich","0.879","2019-2022"
"8",56773,8,"Shelby Noel","0.845","2016-2018"
"9",25380,9,"Mara Forsyth","0.839","2016-2018"
"10",35030,10,"Keani Hindle","0.836","2018-2021"
"11",57749,11,"Patty maye Ohanian","0.827","2018-2021"
"12",71536,12,"Arizona Shreck","0.825","2021-2023"
"13",48964,13,"Lexi Martin","0.822","2021-2024"
"14",10905,14,"Annabelle Calderon","0.810","2022-2025"
"15",4280,15,"Annemarie Bartow","0.798","2016-2018"
"16",44722,16,"Savannah Lee","0.794","2016-2024"
"17",62317,17,"Jess Pozezinski","0.793","2022-2025"
"18",5627,18,"Sam Berghoff","0.792","2017-2020"
"19",59108,19,"Arianna Papas","0.788","2021-2023"
"20",60368,20,"Lizbeth Perez","0.785","2022-2025"
"21",33728,21,"Rachel Heizer","0.781","2016-2018"
"22",25597,22,"Kaylee Fox","0.779","2016-2018"
"23",63130,23,"Carly Quint","0.777","2022-2024"
"24",81259,24,"Eriana Wagner","0.777","2022-2025"
"25",50707,25,"Josie Mcelroy","0.772","2016-2018"
"26",21488,26,"Kerrigan Dura","0.770","2016-2018"
"27",62856,27,"Jill Pulek","0.770","2016-2023"
"28",59842,28,"Raelyn Payne","0.766","2019-2022"
"29",36525,29,"Cassetty Howerin","0.763","2016-2018"
"30",32878,30,"Ashleigh Hartwig","0.762","2019-2022"
"31",5030,31,"Jessica Behr","0.760","2016-2018"
"32",49781,32,"Hadley May","0.760","2022-2025"
"33",49150,33,"Kaylee Martinez","0.757","2016-2018"
"34",16412,34,"Makayla Crawford","0.756","2016-2019"
"35",3509,35,"Melissa Balkema","0.750","2016-2019"
"36",45983,35,"Shannon Lloyd","0.750","2017-2021"
"37",24849,37,"Sydney Fleming","0.748","2022-2025"
"38",30037,38,"Brooke Greaver","0.747","2022-2025"
"39",11253,39,"Taylor Campbell","0.747","2018-2021"
"40",21315,40,"Susan Duncan","0.746","2020-2023"
"41",61256,40,"Becky Pieroni","0.746","2020-2023"
"42",26755,42,"Maleea Gallaspy","0.745","2022-2025"
"43",60351,43,"Jayme Perez","0.745","2016-2017"
"44",60189,44,"Makenzie Pennell","0.744","2017-2021"
"45",26254,45,"Morgan Frye","0.739","2021-2024"
"46",36622,46,"Kalin Hubble","0.738","2019-2022"
"47",47597,47,"Tristen Maddox","0.737","2021-2025"
"48",32359,48,"Sarah Harker","0.737","2020-2024"
"49",76331,49,"Delaney Sylvester","0.736","2016-2018"
"50",38932,50,"Kaylynn Johnson","0.735","2022-2025"
"51",44094,51,"Mackenzie Latess","0.734","2020-2024"
"52",73447,52,"Megan Sooy","0.731","2021-2023"
"53",48549,53,"Alicia Marino","0.729","2016-2017"
"54",17187,54,"Lexi Curt","0.728","2016-2018"
"55",44012,55,"Ceara Larson","0.726","2018-2021"
"56",68949,56,"Karson Saunders","0.726","2021-2023"
"57",68468,57,"Rylea Sandel","0.725","2022-2025"
"58",48470,58,"Grayce Marcum","0.725","2022-2025"
"59",71258,59,"Vada blue Sherrill","0.723","2016-2019"
"60",71797,60,"Marcie Silberman","0.722","2023-2025"
"61",41326,61,"Lauren King","0.722","2019-2021"
"62",44815,62,"Madelyn Lehigh","0.720","2022-2025"
"63",39294,63,"Haley Jones","0.720","2016-2019"
